index,Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles,Year,Month,Day,Location,Region,Is_northeast,Is_midwest,Is_territory,Is_south,Is_west,EV_Density,Days_Since_First_Record,Quarter,County_EV_Mean,State_EV_Mean,Vehicle_Size_Bin,EV_Percent_Bin,BEV_in_West,Winter_EV,EV_Growth_Rate,Market_Growth_Rate,EV_Z_Score,BEV_Percentage,PHEV_Percentage,EV_to_NonEV_Ratio,Dominant_EV_Type,West_BEV
380,2017-09-30,Clallam,WA,Truck,0,0,0,21087,21087,0.0,2017,9,30,"Clallam, WA",West,0,0,0,0,1,0.0,242,3,0.5565622682291842,0.49610926478863887,Large,,0,0,-1.0,-0.5759531853281854,-0.4232681630823851,0.0,0.0,0.0,Equal,0
381,2019-08-31,Cowlitz,WA,Truck,0,0,0,28891,28891,0.0,2019,8,31,"Cowlitz, WA",West,0,0,0,0,1,0.0,942,3,0.2902426914752597,0.49610926478863887,Large,,0,0,-1.0,-0.5934166455571506,-0.4232681630823851,0.0,0.0,0.0,Equal,0
382,2021-03-31,Whatcom,WA,Passenger,1297,574,1871,150279,152150,1.2297075254682879,2021,3,31,"Whatcom, WA",West,0,0,0,0,1,0.012297075254682878,1520,1,0.865287094227188,0.49610926478863887,Large,Medium,1297,0,,,-0.30677213135451026,0.85,0.38,0.012450176005962243,BEV,1
383,2018-07-31,Deschutes,OR,Passenger,1,0,1,179,180,0.5555555555555555,2018,7,31,"Deschutes, OR",West,0,0,0,0,1,0.005555555555555556,546,3,1.373294137049119,1.8125706992340245,Small,Low,1,0,-0.75,0.07784431137724557,-0.37063774789325227,0.56,0.0,0.00558659217877095,BEV,1
384,2017-06-30,Multnomah,OR,Passenger,1,3,4,1017,1021,0.3917727717923604,2017,6,30,"Multnomah, OR",West,0,0,0,0,1,0.0039177277179236044,150,2,0.8830331947107172,1.8125706992340245,Medium,Low,1,0,,,-0.3861536685317723,0.1,0.29,0.003933136676499509,PHEV,0
385,2022-11-30,Pima,AZ,Passenger,1,0,1,258,259,0.3861003861003861,2022,11,30,"Pima, AZ",West,0,0,0,0,1,0.003861003861003861,2129,4,0.731476821752297,1.4165223049062798,Small,Low,1,0,-0.5,-0.4192825112107623,-0.386691040557119,0.39,0.0,0.003875968992248062,BEV,1
386,2024-10-31,Honolulu,HI,Passenger,3,1,4,231,235,1.702127659574468,2024,10,31,"Honolulu, HI",West,0,0,0,0,1,0.01702127659574468,2830,4,1.7189838519492608,2.9401021116927435,Small,Medium,3,0,0.0,0.1298076923076923,-0.26201752931142497,1.28,0.43,0.017316017316017316,BEV,1
387,2023-08-31,Clallam,WA,Truck,18,0,18,21645,21663,0.0830909846281678,2023,8,31,"Clallam, WA",West,0,0,0,0,1,0.0008309098462816784,2403,3,0.5565622682291842,0.49610926478863887,Large,Low,18,0,inf,0.02731540759709783,-0.41539655964736727,0.08,0.0,0.0008316008316008316,BEV,1
388,2018-08-31,Island,WA,Truck,0,0,0,21025,21025,0.0,2018,8,31,"Island, WA",West,0,0,0,0,1,0.0,577,3,0.8481750077775286,0.49610926478863887,Large,,0,0,,-0.006004160363086264,-0.4232681630823851,0.0,0.0,0.0,Equal,0
389,2017-07-31,Whitman,WA,Truck,0,0,0,8425,8425,0.0,2017,7,31,"Whitman, WA",West,0,0,0,0,1,0.0,181,3,0.3348648360325567,0.49610926478863887,Medium,,0,0,-1.0,-0.6203244704821992,-0.4232681630823851,0.0,0.0,0.0,Equal,0
390,2019-08-31,Lewis,WA,Passenger,105,98,203,59347,59550,0.3408900083963056,2019,8,31,"Lewis, WA",West,0,0,0,0,1,0.0034089000839630564,942,3,1.0942069427617291,0.49610926478863887,Large,Low,105,0,39.6,1.283796740172579,-0.39097403426608085,0.18,0.16,0.0034205604327093198,BEV,1
391,2023-07-31,Walla Walla,WA,Passenger,226,114,340,35340,35680,0.952914798206278,2023,7,31,"Walla Walla, WA",West,0,0,0,0,1,0.00952914798206278,2372,3,0.3075422502625197,0.49610926478863887,Large,Low,226,0,4.396825396825397,0.007425812462941606,-0.3329940204373479,0.63,0.32,0.009620826259196379,BEV,1
392,2023-03-31,Lincoln,WA,Passenger,18,17,35,7690,7725,0.4530744336569579,2023,3,31,"Lincoln, WA",West,0,0,0,0,1,0.004530744336569579,2250,1,0.8609884068601248,0.49610926478863887,Medium,Low,18,0,inf,0.5967341876808598,-0.38034627108348057,0.23,0.22,0.004551365409622887,BEV,1
393,2020-10-31,San Mateo,CA,Passenger,2,1,3,124,127,2.3622047244094486,2020,10,31,"San Mateo, CA",West,0,0,0,0,1,0.023622047244094488,1369,4,2.3794542285345877,2.3763470968966462,Small,High,2,0,0.0,-0.045112781954887216,-0.19948529534906448,1.57,0.79,0.024193548387096774,BEV,1
394,2023-05-31,Norfolk,MA,Passenger,1,0,1,23,24,4.166666666666666,2023,5,31,"Norfolk, MA",Northeast,1,0,0,0,0,0.041666666666666664,2311,2,1.7862993923185413,7.985613582835361,Tiny,High,,0,0.0,-0.4,-0.02854004916388907,4.17,0.0,0.043478260869565216,BEV,0
395,2022-08-31,San Juan,WA,Passenger,528,163,691,13977,14668,4.710935369511863,2022,8,31,"San Juan, WA",West,0,0,0,0,1,0.04710935369511863,2038,3,2.331409400143752,0.49610926478863887,Large,High,528,0,inf,1.5496262819398576,0.023021108885459156,3.6,1.11,0.049438363024969595,BEV,1
396,2018-01-31,Anne Arundel,MD,Passenger,0,1,1,469,470,0.2127659574468085,2018,1,31,"Anne Arundel, MD",South,0,0,0,1,0,0.002127659574468085,365,1,1.420232154420389,2.4788927006453108,Small,Low,,1,-0.875,0.7938931297709924,-0.40311183386101507,0.0,0.21,0.0021321961620469083,PHEV,0
397,2019-12-31,Contra Costa,CA,Passenger,3,2,5,338,343,1.4577259475218658,2019,12,31,"Contra Costa, CA",West,0,0,0,0,1,0.014577259475218658,1064,4,1.6332292142872267,2.3763470968966462,Small,Medium,3,5,,,-0.285170863752299,0.87,0.58,0.014792899408284023,BEV,1
398,2020-11-30,Stevens,WA,Truck,0,0,0,18656,18656,0.0,2020,11,30,"Stevens, WA",West,0,0,0,0,1,0.0,1399,4,0.15798692465564715,0.49610926478863887,Large,,0,0,,-0.012753347092131051,-0.4232681630823851,0.0,0.0,0.0,Equal,0
399,2018-01-31,Honolulu,HI,Passenger,2,2,4,577,581,0.6884681583476764,2018,1,31,"Honolulu, HI",West,0,0,0,0,1,0.0068846815834767644,365,1,1.7189838519492608,2.9401021116927435,Small,Low,2,4,0.0,1.472340425531915,-0.35804630604938054,0.34,0.34,0.006932409012131715,Equal,0
400,2024-10-31,Pinal,AZ,Passenger,2,1,3,59,62,4.838709677419354,2024,10,31,"Pinal, AZ",West,0,0,0,0,1,0.04838709677419355,2830,4,1.652264233699274,1.4165223049062798,Tiny,High,2,0,0.5,-0.7181818181818183,0.03512577566167479,3.23,1.61,0.05084745762711865,BEV,1
401,2020-03-31,Ulster,NY,Passenger,1,0,1,15,16,6.25,2020,3,31,"Ulster, NY",Northeast,1,0,0,0,0,0.0625,1155,1,6.568627450980392,6.750273862944342,Tiny,Very High,,0,,,0.168824007795359,6.25,0.0,0.06666666666666667,BEV,0
402,2020-02-29,Moore,NC,Passenger,0,1,1,172,173,0.5780346820809248,2020,2,29,"Moore, NC",South,0,0,0,1,0,0.005780346820809248,1124,1,0.7599383657554526,5.916470008427661,Small,Low,,1,0.0,0.1610738255033557,-0.3685081935214376,0.0,0.58,0.005813953488372093,PHEV,0
403,2019-09-30,Cascade,MT,Passenger,0,1,1,66,67,1.492537313432836,2019,9,30,"Cascade, MT",West,0,0,0,0,1,0.014925373134328358,972,3,2.142333493698327,2.1368412799528125,Tiny,Medium,0,0,0.0,1.09375,-0.28187301779814766,0.0,1.49,0.015151515151515152,PHEV,0
404,2021-03-31,DeKalb,GA,Passenger,1,0,1,70,71,1.408450704225352,2021,3,31,"DeKalb, GA",South,0,0,0,1,0,0.014084507042253521,1520,1,29.23647720053814,8.22502738744759,Tiny,Medium,,0,0.0,-0.13414634146341464,-0.28983894147613287,1.41,0.0,0.014285714285714285,BEV,0
405,2018-12-31,Bucks,PA,Passenger,1,0,1,20,21,4.761904761904762,2018,12,31,"Bucks, PA",Northeast,1,0,0,0,0,0.047619047619047616,699,4,4.2382539872658445,10.34305431462151,Tiny,High,,1,0.0,-0.16000000000000003,0.02784968139589613,4.76,0.0,0.05,BEV,0
406,2022-06-30,Lake,IN,Passenger,0,1,1,10,11,9.090909090909092,2022,6,30,"Lake, IN",Midwest,0,1,0,0,0,0.09090909090909091,1976,2,5.764141660025971,12.310058629381292,Tiny,Very High,,0,,,0.4379568127397882,0.0,9.09,0.1,PHEV,0
407,2024-11-30,Kent,RI,Truck,1,0,1,3,4,25.0,2024,11,30,"Kent, RI",Northeast,1,0,0,0,0,0.25,2860,4,4.873492247683583,6.945189639062103,Tiny,Very High,,0,,,1.9451005204285912,25.0,0.0,0.3333333333333333,BEV,0
408,2024-12-31,Allegheny,PA,Passenger,2,0,2,45,47,4.255319148936169,2024,12,31,"Allegheny, PA",Northeast,1,0,0,0,0,0.0425531914893617,2891,4,2.609772336175571,10.34305431462151,Tiny,High,,2,,,-0.020141578654984935,4.26,0.0,0.044444444444444446,BEV,0
409,2018-02-28,Thurston,WA,Truck,0,0,0,53886,53886,0.0,2018,2,28,"Thurston, WA",West,0,0,0,0,1,0.0,393,1,0.7381821933671064,0.49610926478863887,Large,,0,0,-1.0,-0.7261055199756024,-0.4232681630823851,0.0,0.0,0.0,Equal,0
410,2020-06-30,Multnomah,OR,Passenger,4,7,11,761,772,1.4248704663212437,2020,6,30,"Multnomah, OR",West,0,0,0,0,1,0.014248704663212436,1246,2,0.8830331947107172,1.8125706992340245,Small,Medium,4,0,1.75,-0.24387855044074436,-0.28828341946258845,0.52,0.91,0.01445466491458607,PHEV,0
411,2024-07-31,Camden,GA,Passenger,1,0,1,93,94,1.0638297872340423,2024,7,31,"Camden, GA",South,0,0,0,1,0,0.010638297872340425,2738,3,4.9782211875685,8.22502738744759,Tiny,Medium,,0,,,-0.322486516975535,1.06,0.0,0.010752688172043012,BEV,0
412,2020-12-31,Salt Lake,UT,Passenger,1,1,2,197,199,1.0050251256281408,2020,12,31,"Salt Lake, UT",West,0,0,0,0,1,0.010050251256281407,1430,4,1.9399415413166634,3.7192942143877543,Small,Medium,1,2,1.0,-0.1776859504132231,-0.3280573617352101,0.5,0.5,0.01015228426395939,Equal,0
413,2021-04-30,Travis,TX,Passenger,3,4,7,190,197,3.553299492385787,2021,4,30,"Travis, TX",South,0,0,0,1,0,0.03553299492385787,1550,2,2.5301800533574124,4.399044782974192,Small,High,,0,0.75,0.97,-0.08664723344630722,1.52,2.03,0.03684210526315789,PHEV,0
414,2020-08-31,Kittitas,WA,Truck,0,0,0,14553,14553,0.0,2020,8,31,"Kittitas, WA",West,0,0,0,0,1,0.0,1308,3,0.5641342677644992,0.49610926478863887,Large,,0,0,,0.01776347996363392,-0.4232681630823851,0.0,0.0,0.0,Equal,0
415,2021-09-30,Lincoln,WA,Truck,0,0,0,4780,4780,0.0,2021,9,30,"Lincoln, WA",West,0,0,0,0,1,0.0,1703,3,0.8609884068601248,0.49610926478863887,Medium,,0,0,-1.0,-0.3812297734627832,-0.4232681630823851,0.0,0.0,0.0,Equal,0
416,2024-03-31,Volusia,FL,Truck,1,0,1,4,5,20.0,2024,3,31,"Volusia, FL",South,0,0,0,1,0,0.2,2616,1,6.699320212680708,3.039365731673768,Tiny,Very High,,0,0.0,-0.868421052631579,1.471426783726396,20.0,0.0,0.25,BEV,0
417,2024-11-30,Oldham,KY,Passenger,0,1,1,4,5,20.0,2024,11,30,"Oldham, KY",South,0,0,0,1,0,0.2,2860,4,17.916666666666664,7.411205959467548,Tiny,Very High,,0,,,1.471426783726396,0.0,20.0,0.25,PHEV,0
418,2019-02-28,Washington,OR,Passenger,0,1,1,487,488,0.2049180327868852,2019,2,28,"Washington, OR",West,0,0,0,0,1,0.0020491803278688526,758,1,20.973468523440637,1.8125706992340245,Small,Low,0,1,0.0,0.0,-0.4038553050208197,0.0,0.2,0.002053388090349076,PHEV,0
419,2023-03-31,San Juan,WA,Truck,10,0,10,5910,5920,0.1689189189189189,2023,3,31,"San Juan, WA",West,0,0,0,0,1,0.0016891891891891893,2250,1,2.331409400143752,0.49610926478863887,Medium,Low,10,0,-0.9855282199710564,-0.5964003272429779,-0.4072656719775811,0.17,0.0,0.001692047377326565,BEV,1
420,2021-03-31,Flathead,MT,Passenger,2,0,2,59,61,3.278688524590164,2021,3,31,"Flathead, MT",West,0,0,0,0,1,0.03278688524590164,1520,1,1.9623780464444787,2.1368412799528125,Tiny,High,2,0,,,-0.11266243409733898,3.28,0.0,0.03389830508474576,BEV,1
421,2020-03-31,Essex,MA,Passenger,1,0,1,28,29,3.4482758620689653,2020,3,31,"Essex, MA",Northeast,1,0,0,0,0,0.034482758620689655,1155,1,9.479254636754032,7.985613582835361,Tiny,High,,0,0.0,0.11538461538461542,-0.09659662052914697,3.45,0.0,0.03571428571428571,BEV,0
422,2022-10-31,Bryan,GA,Passenger,0,1,1,36,37,2.7027027027027026,2022,10,31,"Bryan, GA",South,0,0,0,1,0,0.02702702702702703,2099,4,2.74024024024024,8.22502738744759,Tiny,High,,0,0.0,0.02777777777777768,-0.16722830540552278,0.0,2.7,0.027777777777777776,PHEV,0
423,2021-01-31,Pacific,WA,Truck,0,0,0,7795,7795,0.0,2021,1,31,"Pacific, WA",West,0,0,0,0,1,0.0,1461,1,0.2111266961293342,0.49610926478863887,Medium,,0,0,-1.0,-0.0051052967453733,-0.4232681630823851,0.0,0.0,0.0,Equal,0
424,2019-05-31,Flathead,MT,Passenger,1,0,1,70,71,1.408450704225352,2019,5,31,"Flathead, MT",West,0,0,0,0,1,0.014084507042253521,850,2,1.9623780464444787,2.1368412799528125,Tiny,Medium,1,0,-0.5,0.16393442622950816,-0.28983894147613287,1.41,0.0,0.014285714285714285,BEV,1
425,2024-09-30,Ventura,CA,Passenger,2,3,5,201,206,2.4271844660194173,2024,9,30,"Ventura, CA",West,0,0,0,0,1,0.024271844660194174,2799,3,1.2984913272158394,2.3763470968966462,Small,High,2,0,0.0,-0.29931972789115646,-0.19332945594539708,0.97,1.46,0.024875621890547265,PHEV,0
426,2022-07-31,Harnett,NC,Passenger,3,0,3,174,177,1.694915254237288,2022,7,31,"Harnett, NC",South,0,0,0,1,0,0.01694915254237288,2007,3,1.378566318179262,5.916470008427661,Small,Medium,,0,,,-0.26270079470875957,1.69,0.0,0.017241379310344827,BEV,0
427,2024-12-31,Placer,CA,Passenger,3,0,3,52,55,5.454545454545455,2024,12,31,"Placer, CA",West,0,0,0,0,1,0.05454545454545454,2891,4,2.9936227849675987,2.3763470968966462,Tiny,Very High,3,3,,,0.0934668224109189,5.45,0.0,0.057692307692307696,BEV,1
428,2022-02-28,Pierce,WA,Passenger,4477,2165,6642,551201,557843,1.1906575864535363,2022,2,28,"Pierce, WA",West,0,0,0,0,1,0.011906575864535363,1854,1,0.705773266363587,0.49610926478863887,Large,Medium,4477,6642,-0.5605398967844383,0.041809224287336466,-0.3104715174607323,0.8,0.39,0.012050050707455176,BEV,1
429,2022-11-30,Jefferson,WA,Truck,5,0,5,9372,9377,0.0533219579822971,2022,11,30,"Jefferson, WA",West,0,0,0,0,1,0.0005332195798229711,2129,4,3.8775385909493782,0.49610926478863887,Medium,Low,5,0,inf,-0.02718124286751733,-0.4182167208652346,0.05,0.0,0.0005335040546308152,BEV,1
430,2024-11-30,Chelan,WA,Truck,74,0,74,22703,22777,0.3248891425560872,2024,11,30,"Chelan, WA",West,0,0,0,0,1,0.003248891425560873,2860,4,0.5448939941607858,0.49610926478863887,Large,Low,74,0,-0.8678571428571429,-0.5866093143126792,-0.3924898722486822,0.32,0.0,0.0032594811258423997,BEV,1
431,2022-06-30,Kootenai,ID,Passenger,1,1,2,183,185,1.081081081081081,2022,6,30,"Kootenai, ID",West,0,0,0,0,1,0.010810810810810811,1976,2,2.108859164640231,6.448154746062718,Small,Medium,1,0,-0.33333333333333337,-0.23236514522821572,-0.32085222001164015,0.54,0.54,0.01092896174863388,Equal,0
432,2023-02-28,Washington,OR,Passenger,1,0,1,314,315,0.3174603174603174,2023,2,28,"Washington, OR",West,0,0,0,0,1,0.0031746031746031746,2219,1,20.973468523440637,1.8125706992340245,Small,Low,1,1,0.0,-0.3545081967213115,-0.39319364011716634,0.32,0.0,0.0031847133757961785,BEV,1
434,2023-08-31,Rockingham,NH,Passenger,1,0,1,18,19,5.263157894736842,2023,8,31,"Rockingham, NH",Northeast,1,0,0,0,0,0.05263157894736842,2403,3,4.7244010141927655,14.041988616382616,Tiny,Very High,,0,0.0,0.11764705882352944,0.07533577028834673,5.26,0.0,0.05555555555555555,BEV,0
435,2019-12-31,Jefferson,WA,Passenger,217,135,352,25164,25516,1.3795265715629408,2019,12,31,"Jefferson, WA",West,0,0,0,0,1,0.01379526571562941,1064,4,3.8775385909493782,0.49610926478863887,Large,Medium,217,352,69.4,1.7211261597525862,-0.29257906187594773,0.85,0.53,0.013988237164202829,BEV,1
436,2017-08-31,Jefferson,WA,Truck,0,0,0,9423,9423,0.0,2017,8,31,"Jefferson, WA",West,0,0,0,0,1,0.0,212,3,3.8775385909493782,0.49610926478863887,Medium,,0,0,-1.0,-0.630702304436432,-0.4232681630823851,0.0,0.0,0.0,Equal,0
437,2022-07-31,Maui,HI,Passenger,1,0,1,23,24,4.166666666666666,2022,7,31,"Maui, HI",West,0,0,0,0,1,0.041666666666666664,2007,3,4.2556588228120695,2.9401021116927435,Tiny,High,1,0,0.0,-0.7073170731707317,-0.02854004916388907,4.17,0.0,0.043478260869565216,BEV,1
438,2024-11-30,Yakima,WA,Passenger,982,391,1373,166448,167821,0.8181336066404085,2024,11,30,"Yakima, WA",West,0,0,0,0,1,0.008181336066404084,2860,4,0.1577805286491515,0.49610926478863887,Large,Low,982,0,11.36936936936937,0.05066738455374131,-0.3457624825665838,0.59,0.23,0.00824882245506104,BEV,1
439,2022-03-31,Grays Harbor,WA,Passenger,204,157,361,49262,49623,0.7274852386997964,2022,3,31,"Grays Harbor, WA",West,0,0,0,0,1,0.007274852386997965,1885,1,0.3829308137859151,0.49610926478863887,Large,Low,204,0,-0.08838383838383834,0.01182635646269592,-0.35435003280026084,0.41,0.32,0.007328163696155252,BEV,1
440,2019-03-31,Kittitas,WA,Passenger,71,37,108,29427,29535,0.3656678517013712,2019,3,31,"Kittitas, WA",West,0,0,0,0,1,0.0036566785170137127,789,1,0.5641342677644992,0.49610926478863887,Large,Low,71,0,inf,1.0294784580498866,-0.38862671154093453,0.24,0.13,0.0036700988887756144,BEV,1
442,2020-08-31,Lee,FL,Passenger,1,0,1,48,49,2.040816326530612,2020,8,31,"Lee, FL",South,0,0,0,1,0,0.02040816326530612,1308,3,3.3677836584917467,3.039365731673768,Tiny,High,,0,0.0,-0.07547169811320753,-0.22993194402026457,2.04,0.0,0.020833333333333332,BEV,0
443,2023-06-30,Pinal,AZ,Passenger,0,1,1,102,103,0.9708737864077668,2023,6,30,"Pinal, AZ",West,0,0,0,0,1,0.009708737864077669,2341,2,1.652264233699274,1.4165223049062798,Small,Low,0,0,-0.6666666666666667,0.6612903225806452,-0.3312926802275899,0.0,0.97,0.00980392156862745,PHEV,0
444,2023-10-31,Cascade,MT,Passenger,0,1,1,33,34,2.941176470588235,2023,10,31,"Cascade, MT",West,0,0,0,0,1,0.029411764705882353,2464,4,2.142333493698327,2.1368412799528125,Tiny,High,0,0,0.0,-0.4925373134328358,-0.14463655325756433,0.0,2.94,0.030303030303030304,PHEV,0
445,2021-06-30,San Diego,CA,Passenger,19,4,23,2627,2650,0.8679245283018867,2021,6,30,"San Diego, CA",West,0,0,0,0,1,0.008679245283018867,1611,2,0.8217070338575398,2.3763470968966462,Medium,Low,19,0,22.0,5.847545219638243,-0.3410455521831361,0.72,0.15,0.008755234107346783,BEV,1
446,2017-12-31,Charles,MD,Passenger,0,1,1,86,87,1.1494252873563218,2017,12,31,"Charles, MD",South,0,0,0,1,0,0.011494252873563218,334,4,2.16088077758277,2.4788927006453108,Tiny,Medium,,1,0.0,0.03571428571428581,-0.3143776488979724,0.0,1.15,0.011627906976744186,PHEV,0
447,2017-10-31,Clark,NV,Passenger,2,3,5,808,813,0.6150061500615006,2017,10,31,"Clark, NV",West,0,0,0,0,1,0.006150061500615006,273,4,1.1197993183969857,2.9512552393848557,Small,Low,2,0,-0.5833333333333333,0.5485714285714285,-0.36500571084349265,0.25,0.37,0.006188118811881188,PHEV,0
448,2020-05-31,Santa Clara,CA,Passenger,10,2,12,333,345,3.4782608695652173,2020,5,31,"Santa Clara, CA",West,0,0,0,0,1,0.034782608695652174,1216,2,5.05591957071781,2.3763470968966462,Small,High,10,0,,,-0.09375599841998837,2.9,0.58,0.036036036036036036,BEV,1
449,2021-01-31,Queens,NY,Passenger,1,0,1,55,56,1.7857142857142856,2021,1,31,"Queens, NY",Northeast,1,0,0,0,0,0.017857142857142856,1461,1,1.9628696771110938,6.750273862944342,Tiny,Medium,,1,0.0,0.21739130434782616,-0.2540989714030296,1.79,0.0,0.01818181818181818,BEV,0
450,2019-01-31,Lincoln,WA,Truck,0,0,0,4662,4662,0.0,2019,1,31,"Lincoln, WA",West,0,0,0,0,1,0.0,730,1,0.8609884068601248,0.49610926478863887,Medium,,0,0,,-0.02468619246861925,-0.4232681630823851,0.0,0.0,0.0,Equal,0
451,2024-08-31,Stafford,VA,Passenger,2,0,2,63,65,3.0769230769230766,2024,8,31,"Stafford, VA",South,0,0,0,1,0,0.03076923076923077,2769,3,2.621254430720857,9.696117221277873,Tiny,High,,0,-0.33333333333333337,-0.40909090909090906,-0.1317766328041111,3.08,0.0,0.031746031746031744,BEV,0
452,2024-12-31,Beaufort,SC,Passenger,1,0,1,21,22,4.545454545454546,2024,12,31,"Beaufort, SC",South,0,0,0,1,0,0.045454545454545456,2891,4,3.160299378041313,3.044068324394799,Tiny,High,,1,0.0,-0.47619047619047616,0.007344324828701572,4.55,0.0,0.047619047619047616,BEV,0
453,2021-07-31,Whatcom,WA,Passenger,1475,615,2090,150470,152560,1.369952805453592,2021,7,31,"Whatcom, WA",West,0,0,0,0,1,0.01369952805453592,1642,3,0.865287094227188,0.49610926478863887,Large,Medium,1475,0,0.117049706039551,0.002694709168583609,-0.2934860301894133,0.97,0.4,0.013889811922642388,BEV,1
454,2019-08-31,Clark,WA,Truck,0,0,0,80815,80815,0.0,2019,8,31,"Clark, WA",West,0,0,0,0,1,0.0,942,3,1.1197993183969857,0.49610926478863887,Large,,0,0,-1.0,-0.7400928802526549,-0.4232681630823851,0.0,0.0,0.0,Equal,0
455,2018-10-31,Deschutes,OR,Passenger,3,0,3,174,177,1.694915254237288,2018,10,31,"Deschutes, OR",West,0,0,0,0,1,0.01694915254237288,638,4,1.373294137049119,1.8125706992340245,Small,Medium,3,0,2.0,-0.01666666666666672,-0.26270079470875957,1.69,0.0,0.017241379310344827,BEV,1
456,2018-04-30,Palm Beach,FL,Passenger,0,2,2,90,92,2.1739130434782608,2018,4,30,"Palm Beach, FL",South,0,0,0,1,0,0.021739130434782608,454,2,2.9954042059069255,3.039365731673768,Tiny,High,,0,0.0,0.06976744186046502,-0.21732306016838712,0.0,2.17,0.022222222222222223,PHEV,0
457,2020-11-30,Calvert,MD,Passenger,0,2,2,89,91,2.1978021978021975,2020,11,30,"Calvert, MD",South,0,0,0,1,0,0.02197802197802198,1399,4,2.3140110200158515,2.4788927006453108,Tiny,High,,0,0.0,0.24657534246575352,-0.21505992716933223,0.0,2.2,0.02247191011235955,PHEV,0
458,2021-07-31,Nueces,TX,Passenger,1,0,1,79,80,1.25,2021,7,31,"Nueces, TX",South,0,0,0,1,0,0.0125,1642,3,2.9429225027681216,4.399044782974192,Tiny,Medium,,0,-0.5,-0.16666666666666663,-0.30484972890683626,1.25,0.0,0.012658227848101266,BEV,0
459,2021-05-31,Wahkiakum,WA,Truck,0,0,0,1795,1795,0.0,2021,5,31,"Wahkiakum, WA",West,0,0,0,0,1,0.0,1581,2,0.5262021235367276,0.49610926478863887,Medium,,0,0,-1.0,0.018728717366628844,-0.4232681630823851,0.0,0.0,0.0,Equal,0
460,2023-08-31,Wahkiakum,WA,Truck,4,0,4,1766,1770,0.2259887005649717,2023,8,31,"Wahkiakum, WA",West,0,0,0,0,1,0.0022598870056497176,2403,3,0.5262021235367276,0.49610926478863887,Medium,Low,4,0,inf,-0.013927576601671321,-0.40185918063256837,0.23,0.0,0.0022650056625141564,BEV,1
461,2018-08-31,Douglas,WA,Truck,0,0,0,12025,12025,0.0,2018,8,31,"Douglas, WA",West,0,0,0,0,1,0.0,577,3,1.716483134986878,0.49610926478863887,Large,,0,0,-1.0,-0.06645446782082132,-0.4232681630823851,0.0,0.0,0.0,Equal,0
462,2023-10-31,Duval,FL,Truck,1,0,1,51,52,1.9230769230769231,2023,10,31,"Duval, FL",South,0,0,0,1,0,0.019230769230769232,2464,4,0.99645569532835,3.039365731673768,Tiny,Medium,,0,-0.5,-0.8579234972677596,-0.24108595665846377,1.92,0.0,0.0196078431372549,BEV,0
463,2023-06-30,Franklin,WA,Passenger,307,138,445,61895,62340,0.7138273981392363,2023,6,30,"Franklin, WA",West,0,0,0,0,1,0.007138273981392365,2341,2,2.843016393011232,0.49610926478863887,Large,Low,307,0,inf,2.0113032557240844,-0.3556439048749815,0.49,0.22,0.007189595282332983,BEV,1
464,2019-11-30,Alameda,CA,Passenger,4,1,5,307,312,1.6025641025641024,2019,11,30,"Alameda, CA",West,0,0,0,0,1,0.016025641025641024,1033,4,1.873655960822359,2.3763470968966462,Small,Medium,4,0,-0.2857142857142857,1.4,-0.2714496577291174,1.28,0.32,0.016286644951140065,BEV,1
465,2020-09-30,Montgomery,PA,Passenger,1,0,1,29,30,3.333333333333333,2020,9,30,"Montgomery, PA",Northeast,1,0,0,0,0,0.03333333333333333,1338,3,3.3845748428094966,10.34305431462151,Tiny,High,,0,-0.5,0.11111111111111116,-0.10748567194758825,3.33,0.0,0.034482758620689655,BEV,0
466,2018-09-30,Prince George's,MD,Passenger,1,1,2,187,189,1.0582010582010581,2018,9,30,"Prince George's, MD",South,0,0,0,1,0,0.010582010582010581,607,3,1.9297330744986572,2.4788927006453108,Small,Medium,,0,,,-0.32301975319832255,0.53,0.53,0.0106951871657754,Equal,0
467,2021-03-31,Camden,NJ,Passenger,0,1,1,14,15,6.666666666666666,2021,3,31,"Camden, NJ",Northeast,1,0,0,0,0,0.06666666666666667,1520,1,4.9782211875685,12.225600138692577,Tiny,Very High,,0,0.0,0.0,0.20829681918720855,0.0,6.67,0.07142857142857142,PHEV,0
468,2021-10-31,Coryell,TX,Passenger,1,0,1,105,106,0.9433962264150944,2021,10,31,"Coryell, TX",South,0,0,0,1,0,0.009433962264150943,1734,4,1.0668838323098937,4.399044782974192,Small,Low,,0,,,-0.33389575993102744,0.94,0.0,0.009523809523809525,BEV,0
469,2023-05-31,Eagle,CO,Passenger,1,0,1,7,8,12.5,2023,5,31,"Eagle, CO",West,0,0,0,0,1,0.125,2311,2,12.834821428571429,3.937185577855679,Tiny,Very High,1,0,,,0.760916178673103,12.5,0.0,0.14285714285714285,BEV,1
470,2018-09-30,Chelan,WA,Passenger,117,59,176,53794,53970,0.326107096535112,2018,9,30,"Chelan, WA",West,0,0,0,0,1,0.003261070965351121,607,3,0.5448939941607858,0.49610926478863887,Large,Low,117,0,1.3783783783783785,1.3694955437502743,-0.3923744896862071,0.22,0.11,0.0032717403427891586,BEV,1
