index,Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles,Year,Month,Day,Location,Region,Is_northeast,Is_midwest,Is_territory,Is_south,Is_west,EV_Density,Days_Since_First_Record,Quarter,County_EV_Mean,State_EV_Mean,Vehicle_Size_Bin,EV_Percent_Bin,BEV_in_West,Winter_EV,EV_Growth_Rate,Market_Growth_Rate,EV_Z_Score,BEV_Percentage,PHEV_Percentage,EV_to_NonEV_Ratio,Dominant_EV_Type,West_BEV
20,2020-03-31,Pierce,WA,Passenger,2309,1685,3994,550650,554644,0.7201015426111163,2020,3,31,"Pierce, WA",West,0,0,0,0,1,0.0072010154261111636,1155,1,0.705773266363587,0.49610926478863887,Large,Low,2309,0,,,-0.3550495253836606,0.42,0.3,0.007253246163624807,BEV,1
21,2021-03-31,Duval,FL,Passenger,0,2,2,364,366,0.5464480874316939,2021,3,31,"Duval, FL",South,0,0,0,1,0,0.00546448087431694,1520,1,0.99645569532835,3.039365731673768,Small,Low,,0,,,-0.3715005415848774,0.0,0.55,0.005494505494505495,PHEV,0
22,2020-07-31,Walla Walla,WA,Truck,0,0,0,13747,13747,0.0,2020,7,31,"Walla Walla, WA",West,0,0,0,0,1,0.0,1277,3,0.3075422502625197,0.49610926478863887,Large,,0,0,,-0.009938782859200579,-0.4232681630823851,0.0,0.0,0.0,Equal,0
23,2018-08-31,Volusia,FL,Passenger,0,1,1,37,38,2.631578947368421,2018,8,31,"Volusia, FL",South,0,0,0,1,0,0.02631578947368421,577,3,6.699320212680708,3.039365731673768,Tiny,High,,0,,,-0.17396619639701916,0.0,2.63,0.02702702702702703,PHEV,0
24,2022-03-31,Spartanburg,SC,Passenger,0,1,1,44,45,2.2222222222222223,2022,3,31,"Spartanburg, SC",South,0,0,0,1,0,0.022222222222222223,1885,1,2.1912141137665064,3.044068324394799,Tiny,High,,0,,,-0.21274650232585382,0.0,2.22,0.022727272727272728,PHEV,0
25,2017-12-31,Morris,NJ,Passenger,1,0,1,20,21,4.761904761904762,2017,12,31,"Morris, NJ",Northeast,1,0,0,0,0,0.047619047619047616,334,4,5.061336787679498,12.225600138692577,Tiny,High,,1,,,0.02784968139589613,4.76,0.0,0.05,BEV,0
26,2019-06-30,Twin Falls,ID,Passenger,0,1,1,25,26,3.8461538461538463,2019,6,30,"Twin Falls, ID",West,0,0,0,0,1,0.038461538461538464,880,2,3.675637410478659,6.448154746062718,Tiny,High,0,0,,,-0.05890375023454254,0.0,3.85,0.04,PHEV,0
27,2023-11-30,Clallam,WA,Passenger,653,307,960,48953,49913,1.923346623124236,2023,11,30,"Clallam, WA",West,0,0,0,0,1,0.019233466231242363,2494,4,0.5565622682291842,0.49610926478863887,Large,Medium,653,0,,,-0.24106040669262388,1.31,0.62,0.01961064694707168,BEV,1
28,2017-11-30,Walla Walla,WA,Passenger,29,31,60,35220,35280,0.1700680272108843,2017,11,30,"Walla Walla, WA",West,0,0,0,0,1,0.0017006802721088435,303,4,0.3075422502625197,0.49610926478863887,Large,Low,29,0,inf,1.5663781188622972,-0.40715681149387506,0.08,0.09,0.0017035775127768314,PHEV,0
29,2020-03-31,Washington,OR,Passenger,1,0,1,487,488,0.2049180327868852,2020,3,31,"Washington, OR",West,0,0,0,0,1,0.0020491803278688526,1155,1,20.973468523440637,1.8125706992340245,Small,Low,1,0,,,-0.4038553050208197,0.2,0.0,0.002053388090349076,BEV,1
