index,state_code,county_code,site_number,parameter_code,poc,parameter,si_id,method_code,method,assessment_date,assessment_number,unit_code,unit,lvl1_monitor_concentration,lvl1_assessment_concentration,lvl2_monitor_concentration,lvl2_assessment_concentration,lvl3_monitor_concentration,lvl3_assessment_concentration,lvl4_monitor_concentration,lvl4_assessment_concentration,lvl5_monitor_concentration,lvl5_assessment_concentration,lvl6_monitor_concentration,lvl6_assessment_concentration,lvl7_monitor_concentration,lvl7_assessment_concentration,lvl8_monitor_concentration,lvl8_assessment_concentration,pqao_code,pqao,monitoring_agency_code,monitoring_agency,performing_agency_code,performing_agency,analyzing_agency_code,analyzing_agency,latitude,longitude,datum,local_site_name,address,state_name,county_name,city_name,cbsa_code,cbsa_name,csa_code,csa_name,date_of_last_change,lvl1_monitor_concentration_missing,lvl1_assessment_concentration_missing,lvl2_monitor_concentration_missing,lvl2_assessment_concentration_missing,lvl3_monitor_concentration_missing,lvl3_assessment_concentration_missing,lvl4_monitor_concentration_missing,lvl4_assessment_concentration_missing,lvl5_monitor_concentration_missing,lvl5_assessment_concentration_missing,lvl6_monitor_concentration_missing,lvl6_assessment_concentration_missing,lvl7_monitor_concentration_missing,lvl7_assessment_concentration_missing,lvl8_monitor_concentration_missing,lvl8_assessment_concentration_missing,method_clean,site_id,precision_code,data_completeness,quality_category,lvl1_monitor_concentration_clean,has_lvl8_data,concentration_trend,agency_type,display_text,county_encoded,param_freq_encoded,change_year,change_quarter,days_since_change,change_month_sin,change_month_cos,method_complexity,equipment_type,summer_highs,prev_day_concentration,site_percentile,county_volatility
2669,39,27,1002,44201,1,Ozone,11940,87,INSTRUMENTAL-ULTRA VIOLET ABSORPTION,2024-09-17,1.0,8,Parts per billion,2.09,2.5,15.4,15.1,5.105,5.4,61.4,60.0,75.3,74.8,100.7,100.4,100.5,104.6,0.3855,0.396,1455,South West Ohio PQAO,810,"Ohio EPA, Southwest District Office",1256,Ohio EPA Central Office,1259,Hamilton County Department Of Environmental Services,39.427535,-83.788916,NAD83,Wilmington,"300 Oak Drive Wilmington, 45177",Ohio,Clinton,Not in a City,48940.0,"Wilmington, OH",178.0,"Cincinnati-Wilmington-Maysville, OH-KY-IN",2025-04-17,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1,UV,39-027-1002,,0.5,Medium,2.09,0,,Local,Site 1002 (Ozone): 2.09 Parts per billion,1.7580816666666665,0.530765115034778,2025,2,2,0.8660254037844387,-0.4999999999999998,3,Analytical,False,2.09,0.5319148936170213,0.9224771986856162
2670,39,35,34,44201,1,Ozone,11996,87,INSTRUMENTAL-ULTRA VIOLET ABSORPTION,2024-09-18,1.0,8,Parts per billion,2.09,2.5,13.7,14.7,5.105,5.4,63.2,64.4,79.4,80.5,108.0,109.4,100.5,104.6,0.3855,0.396,1454,North East Ohio PQAO,229,Cleveland Air Pollution Control Agency,1256,Ohio EPA Central Office,0229,Cleveland Air Pollution Control Agency,41.55523,-81.575256,NAD83,District 6,881 E. 152nd ST.,Ohio,Cuyahoga,Cleveland,17460.0,"Cleveland-Elyria, OH",184.0,"Cleveland-Akron-Canton, OH",2024-11-18,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1,UV,39-035-0034,,0.5,Medium,2.09,0,,Local,Site 34 (Ozone): 2.09 Parts per billion,2.097759036144578,0.530765115034778,2024,4,152,-0.5000000000000004,0.8660254037844384,3,Analytical,False,2.09,0.425,0.3255089177819182
2671,39,35,38,42401,2,Sulfur dioxide,12000,100,INSTRUMENTAL-ULTRAVIOLET FLUORESCENCE,2024-12-10,1.0,8,Parts per billion,4.05,2.79,3.3,3.507043907,5.105,5.4,15.96,14.99,29.1,30.1,72.05,74.99,122.77,124.8,175.98,179.95,1454,North East Ohio PQAO,229,Cleveland Air Pollution Control Agency,1256,Ohio EPA Central Office,0229,Cleveland Air Pollution Control Agency,41.477011,-81.682383,NAD83,St Theodosius,2547 ST TIKHON,Ohio,Cuyahoga,Cleveland,17460.0,"Cleveland-Elyria, OH",184.0,"Cleveland-Akron-Canton, OH",2025-01-13,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,UV FLUORESCENCE,39-035-0038,,0.625,Medium,4.05,1,,Local,Site 38 (Sulfur dioxide): 4.05 Parts per billion,2.097759036144578,0.1720171214553237,2025,1,96,0.49999999999999994,0.8660254037844387,2,Analytical,False,,1.0,0.5896455021297272
2672,39,35,51,42101,1,Carbon monoxide,12013,54,INSTRUMENTAL-NONDISPERSIVE INFRARED,2024-12-16,1.0,7,Parts per million,2.09,2.5,3.3,3.507043907,5.105,5.4,2.626,2.498,5.243,4.998,10.335,9.99,26.077,24.994,0.3855,0.396,1454,North East Ohio PQAO,229,Cleveland Air Pollution Control Agency,1256,Ohio EPA Central Office,0229,Cleveland Air Pollution Control Agency,41.504605,-81.69045,NAD83,Galleria,1301 E. 9TH ST.,Ohio,Cuyahoga,Cleveland,17460.0,"Cleveland-Elyria, OH",184.0,"Cleveland-Akron-Canton, OH",2025-01-06,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,INSTRUMENTAL-NONDISPERSIVE INFRARED,39-035-0051,,0.5,Medium,2.09,0,,Local,Site 51 (Carbon monoxide): 2.09 Parts per million,2.097759036144578,0.0888175494917068,2025,1,103,0.49999999999999994,0.8660254037844387,2,Analytical,False,2.09,0.5294117647058824,0.5896455021297272
2673,39,35,60,42101,1,Carbon monoxide,12022,554,INSTRUMENTAL-Gas Filter Correlation Thermo Electron 48i-TLE,2024-11-22,1.0,7,Parts per million,2.09,2.5,0.083,0.15,0.649,0.749,2.304,2.498,3.265,3.499,71.1165,74.9,100.5,104.6,0.3855,0.396,1454,North East Ohio PQAO,229,Cleveland Air Pollution Control Agency,1256,Ohio EPA Central Office,0229,Cleveland Air Pollution Control Agency,41.492117,-81.678449,NAD83,GT Craig NCore PAMS,E. 14TH & ORANGE,Ohio,Cuyahoga,Cleveland,17460.0,"Cleveland-Elyria, OH",184.0,"Cleveland-Akron-Canton, OH",2025-01-06,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,INSTRUMENTAL-Gas Filter Correlation Thermo Electron 48i-TLE,39-035-0060,,0.5,Medium,2.09,0,,Local,Site 60 (Carbon monoxide): 2.09 Parts per million,2.097759036144578,0.0888175494917068,2025,1,103,0.49999999999999994,0.8660254037844387,6,Analytical,False,,0.5,0.5896455021297272
2674,39,35,60,42401,2,Sulfur dioxide,12022,560,INSTRUMENTAL-Pulsed Fluorescent 43C-TLE/43i-TLE,2024-11-22,1.0,8,Parts per billion,2.14,2.49,3.3,3.507043907,5.18,5.99,13.14,14.99,30.45,34.98,65.69,74.49,100.5,104.6,0.3855,0.396,1454,North East Ohio PQAO,229,Cleveland Air Pollution Control Agency,1256,Ohio EPA Central Office,0229,Cleveland Air Pollution Control Agency,41.492117,-81.678449,NAD83,GT Craig NCore PAMS,E. 14TH & ORANGE,Ohio,Cuyahoga,Cleveland,17460.0,"Cleveland-Elyria, OH",184.0,"Cleveland-Akron-Canton, OH",2025-01-13,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,INSTRUMENTAL-Pulsed Fluorescent 43C-TLE/43i-TLE,39-035-0060,,0.625,Medium,2.14,0,0.050000000000000266,Local,Site 60 (Sulfur dioxide): 2.14 Parts per billion,2.097759036144578,0.1720171214553237,2025,1,96,0.49999999999999994,0.8660254037844387,3,Analytical,False,2.09,1.0,0.5896455021297272
2675,39,35,60,42602,1,Nitrogen dioxide (NO2),12022,212,Teledyne Model T500U-Cavity Attenuated Phase Shift Spectroscopy,2024-07-26,1.0,8,Parts per billion,2.09,2.5,3.3,3.507043907,5.105,5.4,17.8,15.8,37.9,34.0,79.7,71.4,160.1,144.8,0.3855,0.396,1454,North East Ohio PQAO,229,Cleveland Air Pollution Control Agency,1256,Ohio EPA Central Office,0229,Cleveland Air Pollution Control Agency,41.492117,-81.678449,NAD83,GT Craig NCore PAMS,E. 14TH & ORANGE,Ohio,Cuyahoga,Cleveland,17460.0,"Cleveland-Elyria, OH",184.0,"Cleveland-Akron-Canton, OH",2025-02-03,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,Teledyne Model T500U-Cavity Attenuated Phase Shift Spectroscopy,39-035-0060,,0.5,Medium,2.09,0,0.0,Local,Site 60 (Nitrogen dioxide (NO2)): 2.09 Parts per billion,2.097759036144578,0.20840021401819156,2025,1,75,0.8660254037844386,0.5000000000000001,7,Manual,False,2.14,0.5,0.5896455021297272
2676,39,35,60,44201,1,Ozone,12022,87,INSTRUMENTAL-ULTRA VIOLET ABSORPTION,2024-10-15,1.0,8,Parts per billion,2.09,2.5,15.6,15.0,5.105,5.4,65.5,66.2,82.2,82.2,111.2,111.5,100.5,104.6,0.3855,0.396,1454,North East Ohio PQAO,229,Cleveland Air Pollution Control Agency,1256,Ohio EPA Central Office,0229,Cleveland Air Pollution Control Agency,41.492117,-81.678449,NAD83,GT Craig NCore PAMS,E. 14TH & ORANGE,Ohio,Cuyahoga,Cleveland,17460.0,"Cleveland-Elyria, OH",184.0,"Cleveland-Akron-Canton, OH",2025-02-03,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1,UV,39-035-0060,,0.5,Medium,2.09,0,0.0,Local,Site 60 (Ozone): 2.09 Parts per billion,2.097759036144578,0.530765115034778,2025,1,75,0.8660254037844386,0.5000000000000001,3,Analytical,False,2.09,0.5,0.5896455021297272
2677,39,35,64,44201,1,Ozone,12026,87,INSTRUMENTAL-ULTRA VIOLET ABSORPTION,2024-09-23,1.0,8,Parts per billion,2.09,2.5,15.3,14.7,5.105,5.4,65.3,64.8,81.1,81.2,109.1,109.8,100.5,104.6,0.3855,0.396,1454,North East Ohio PQAO,229,Cleveland Air Pollution Control Agency,1256,Ohio EPA Central Office,0229,Cleveland Air Pollution Control Agency,41.361835,-81.86457,NAD83,Berea BOE,390 FAIR ST.,Ohio,Cuyahoga,Berea,17460.0,"Cleveland-Elyria, OH",184.0,"Cleveland-Akron-Canton, OH",2024-11-18,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1,UV,39-035-0064,,0.5,Medium,2.09,0,,Local,Site 64 (Ozone): 2.09 Parts per billion,2.097759036144578,0.530765115034778,2024,4,152,-0.5000000000000004,0.8660254037844384,3,Analytical,False,,0.5714285714285714,0.3255089177819182
2678,39,35,65,42401,1,Sulfur dioxide,12027,100,INSTRUMENTAL-ULTRAVIOLET FLUORESCENCE,2024-02-12,1.0,8,Parts per billion,2.79,2.79,3.3,3.507043907,5.105,5.4,13.53,14.98,29.1,30.1,73.99,74.99,125.37,124.95,179.74,179.95,1454,North East Ohio PQAO,229,Cleveland Air Pollution Control Agency,1256,Ohio EPA Central Office,0229,Cleveland Air Pollution Control Agency,41.446624,-81.662356,NAD83,Harvard Yards,4600 HARVARD AVE.,Ohio,Cuyahoga,Newburgh Heights,17460.0,"Cleveland-Elyria, OH",184.0,"Cleveland-Akron-Canton, OH",2024-03-13,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,UV FLUORESCENCE,39-035-0065,,0.625,Medium,2.79,1,,Local,Site 65 (Sulfur dioxide): 2.79 Parts per billion,2.097759036144578,0.1720171214553237,2024,1,402,1.0,6.123233995736766e-17,2,Analytical,False,,1.0,0.3255089177819182
